RUNNING K MEANS
INITIAL WEIGHTS: 
COST: 4.000006279330422
COST: 4.000003929537008
COST: 3.6930946097689024
COST: 4.000000027138107
COST: 9.025108679033929
COST: 9.000930575321568
COST: 4.000000955230721
COST: 3.8789186983066313
COST: 4.033336310312641
COST: 4.000000197937516
COST: 0.9072140348630943
COST: 1.0000000026846743
COST: 8.999999999999982
COST: 3.8455487878806633
COST: 1.0326867275880334
COST: 9.000107930011485
COST: 1.000562771218578
COST: 9.003030304702007
COST: 3.999999999999396
COST: 1.0000000010159216
COST: 4.0847790607418455
COST: 4.052551523665672
COST: 8.999852243537669
COST: 4.000000001913744
COST: 4.042554982968328
COST: 8.99999999999972
COST: 9.089897856703447
COST: 1.0000044855863317
COST: 9.077142174748028
COST: 4.006589286326313
COST: 8.577684092680471
COST: 0.999988671829038
COST: 4.000024729308975
COST: 0.9999999999999776
COST: 8.95178068111146
COST: 3.999999999035424
COST: 4.0007219806326395
COST: 1.0475011483447842
COST: 8.887731177907996
COST: 8.822047373853227
COST: 3.9273299330253
COST: 1.0
COST: 0.9685931303700802
COST: 0.9999999999999913
COST: 9.000953807516781
COST: 0.9996915178948825
COST: 8.999802351124387
COST: 1.0004911055392762
COST: 0.9874702474992109
COST: 1.0006470837663433
COST: 9.000000198962027
COST: 0.9999999999999833
COST: 8.999999913260147
COST: 0.9873310445563853
COST: 9.000192509322464
COST: 1.0891196000995869
COST: 3.999775962956221
COST: 8.883002339870085
COST: 4.0000000000954365
COST: 1.0100708406025625
COST: 0.9999999995304858
COST: 4.146753169824329
COST: 3.9999050188385366
COST: 4.000001951357008
COST: 1.0013678998415745
COST: 4.122292338001273
COST: 9.000000000420485
COST: 3.9999579928108004
COST: 4.000238731199311
COST: 0.9999299188750281
COST: 0.9999998290462544
COST: 8.810031735144907
COST: 4.1319591617705065
COST: 3.9812980023788573
COST: 3.999999313536714
COST: 1.0
COST: 3.99999994676834
COST: 4.018148182700635
COST: 4.000440526049921
COST: 3.9985291891888037
COST: 1.0000000009486767
COST: 3.999951339975226
COST: 9.00000304033645
COST: 1.049872922320162
COST: 4.208885357430805
COST: 4.000605660316294
COST: 8.999999999986386
COST: 1.0013222234614556
COST: 4.067014004659945
COST: 4.00000412889557
COST: 4.1450502489417875
COST: 9.000132774173016
COST: 8.837111205904199
COST: 0.9282883445685118
COST: 4.133646480699891
COST: 1.090267340619783
COST: 3.9994980363092894
COST: 4.000078576241544
COST: 1.0000000000314055
COST: 0.9999999999999909
COST: 3.9666652271395493
COST: 8.888050055116471
COST: 9.031288120252501
COST: 4.017313070482478
COST: 0.9757232582942583
COST: 1.0266038290491177
COST: 8.995140634123343
COST: 9.000047942416051
COST: 9.024473297628292
COST: 0.9999999994366111
COST: 1.000015552920586
COST: 4.000000942855363
COST: 1.0963530868574456
COST: 9.054803905052337
COST: 1.000000437013911
COST: 9.000004179466229
COST: 4.1622455310546975
COST: 9.000000000006827
COST: 4.0104359957243725
COST: 3.9972012040371507
COST: 8.997197400663785
COST: 4.109767837095453
